Postnumber;Date;Allgemein;Vorspeisen;Hauptspeisen;Frühstück;Beilagen;Süßes;Getränke;Frühling;Sommer;Herbst;Winter;on  Tour;Nachspeisen;Pasta  und  Risotto;Suppen;aus  der  Backstube;Kleinigkeiten;kleine  Geschenke;Wie  macht  man  eigentlich...?;Fit  &  Healthy  Friday; "Stiftung  Chaosküchen-Test ";Blogs  that  rock;aus  dem  Eisfach;Selfmade  Sunday;Eat  like  a  Swabian;Books  that  rock
post-14669;17/05/2018;true;false;true;false;false;false;false;true;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-14623;08/05/2018;true;true;true;false;true;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14635;07/05/2018;true;true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-14589;03/05/2018;true;false;true;false;true;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14570;02/05/2018;true;false;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-14571;01/05/2018;true;false;false;false;false;false;false;true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-14590;30/04/2018;true;false;false;false;true;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14565;26/04/2018;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14464;23/04/2018;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14122;15/04/2018;true;false;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14499;12/04/2018;true;false;true;false;true;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14091;10/04/2018;true;true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14462;05/04/2018;true;false;true;false;true;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14403;03/04/2018;true;true;true;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-14451;30/03/2018;true;true;true;false;true;false;false;true;false;false;false;false;false;true;false;false;true;false;false;false;false;false;false;false;false;false
post-14423;25/03/2018;true;false;false;true;false;false;false;true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-14401;23/03/2018;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14282;22/03/2018;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14335;20/03/2018;true;false;true;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
